id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4758668291608469,LoCeh6Kr3,2610876564,我的追星大号,#完美代入小说女主的长相#她的眼里有故事！,,,,完美代入小说女主的长相,4,2,122,2022-04-15 23:59,电视剧超话,https://wx3.sinaimg.cn/large/9b9ed094gy1h1aum733rbj20u0196gxb.jpg,,,,红V
4758668082155525,LoCdW92Kx,5706930123,蓅藝菲,【刘亦菲实绩偷不来更偷不走】，我投给了“迪士尼大女主花木兰”这个选项，你也快来表态吧~,,,,,0,0,0,2022-04-15 23:59,Android,,,,,普通用户
4758638407977129,LoBs4xtdn,7479686389,想到的昵称全部不可用,各位刘亦菲们，夏天要到了，防晒做起来啊，这样就能跟刘亦菲一样白抽一位宝贝送安热沙防晒喷雾，转发带刘亦菲名字送上美好的祝福哦@刘亦菲刘亦菲超话,,,刘亦菲,,458,417,191,2022-04-15 22:01,刘亦菲超话,https://wx1.sinaimg.cn/large/008ac073ly1h1ar6823t1j30v90v9tdr.jpg,,,,
4758667913596554,LoCdFf5CW,5874685132,想吃芒果了1,#刘亦菲去有风的地方#lyf#刘亦菲许红豆#,,,,"刘亦菲去有风的地方,刘亦菲许红豆",0,0,191,2022-04-15 23:58,HUAWEI nova 3,,,4758638407977129,,普通用户
4758649463380028,LoBJUebiA,7508149943,新之助不理不理不理不理,刘亦菲超话刘亦菲粉丝今天真呀真高兴来抽个奖谢谢仙粉为爱发电👉抽5*100RMB请带#刘亦菲去有风的地方#转发即可仇家不抽这么多人加抽20*20❗️希望仙粉都多多中奖大家一定要开开心心为爱发电不易同是亦家人[虎爪比心]i录i斋i豆i刘亦菲大家周末愉快O抽奖详情,,,,刘亦菲去有风的地方,1102,951,586,2022-04-15 22:45,刘亦菲超话,https://wx3.sinaimg.cn/large/008c7qMDgy1h1ase8by8mj30j60poq4e.jpg,,,,
4758667046161367,LoCcgpQQT,6113101508,小卿爱茜茜吖,#刘亦菲去有风的地方#,,,,刘亦菲去有风的地方,0,0,586,2022-04-15 23:54,nova6 5G自拍大不一样,,,4758649463380028,,普通用户
4758623916394643,LoB4HqPxp,6024140972,泠泠七弦上a,刘亦菲超话#刘亦菲去有风的地方##刘亦菲许红豆#[{这条已经开奖了！！！！}]就庆祝一下明天我休息，茜茜上班，带刘亦菲大名转发微博，抽10个小姐妹平分82.5。。@微博抽奖平台第一次用，试试先O抽奖详情,,,微博抽奖平台,"刘亦菲去有风的地方,刘亦菲许红豆",196,170,112,2022-04-15 21:03,刘亦菲超话,,,,,
4758305827981023,LosNExueb,5228142093,love番茄酱peace,广播剧难哄太上头了，终于听完大结局了，听剧的时候脑里自动带入女主刘亦菲和push(推哥我印象中有梨涡),,,,,0,2,1,2022-04-14 23:59,iPhone 12 Pro,,,,,普通用户
4758304439407455,LosLpDtj9,6407694533,还给睡觉,刘亦菲超话菲迷们也注意一下自己言语最好还是别公开那啥小心自己的耗子,,,,,0,2,15,2022-04-14 23:54,刘亦菲超话,https://wx4.sinaimg.cn/large/006ZE23Pgy1h19osjgrmtj30r51gtag3.jpg,,,,普通用户
4758304423151766,LosLoddUW,7567224355,体育白晓生,19岁爱豆时期的刘亦菲,,,,,0,0,1,2022-04-14 23:54,即刻笔记,"https://wx1.sinaimg.cn/large/005GIVK4ly1gyy07xk329j30yh0p542s.jpg,https://wx1.sinaimg.cn/large/005GIVK4ly1gyy07x5uh7j30xk1bktfh.jpg,https://wx1.sinaimg.cn/large/005GIVK4ly1gyy07ralnrj30u0195n1b.jpg,https://wx4.sinaimg.cn/large/005GIVK4ly1gyy0hzjnymj30yh190alf.jpg,https://wx3.sinaimg.cn/large/005GIVK4ly1gyy4c8oc4lj315o47qe81.jpg,https://wx2.sinaimg.cn/large/008qlHWfgy1gz5h8qc58ij30qy0ttq65.jpg,https://wx2.sinaimg.cn/large/008q73Hegy1h1837vt07sj30u03uatqt.jpg,https://wx1.sinaimg.cn/large/005GIVK4ly1gyy080idftj30rs24k7ld.jpg",,,,黄V
4758219606461680,LoqyAr6YE,1047702544,碎冰碰壁响,有一个问题去有风的地方为什么叫去有风的地方而不叫在有风的地方谁去有风的地方呢刘亦菲饰演的许红豆呀我们在日歪屁股的low官博如果有人上赶着当护博狗合理怀疑脂粉有备而来,,,,,1,3,24,2022-04-14 18:17,,,,,,
4758303706710583,LosKes9Jd,5372965819,黄亦玫的收藏夹,我喜欢这个解释#刘亦菲去有风的地方#lyf#刘亦菲许红豆#//@巷口的花开了·:上次在超话看到的“女主去大漠就是去有沙的地方”//@与天仙红尘作伴:主角换副本嘛。女主去云南，就是去有风的地方；去前面，就会叫去有土的地方；去三亚，就是去有海的地方。,,,"巷口的花开了·,与天仙红尘作伴","刘亦菲去有风的地方,刘亦菲许红豆",0,0,24,2022-04-14 23:51,nova7Pro你在焦点在,,,4758219606461680,,普通用户
4758303496736314,LosJTsgqe,6578257775,挚爱追剧博,赵丽颖的《与凤行》基本定了，也算是任务剧吧。《幸福到万家》目前暂定4月29东、北联播，优酷播出。龚俊他本人是想再演一部仙侠剧来稳一稳流量的，这段时间接触这类题材的项目比较多。杨洋现在更重视《特战荣耀》这部剧，如果反响好，他很有可能再拿下一部正剧。王俊凯的《重生之门》已经在排播，不出意外的话估计这个月下旬就会播。刘亦菲和井柏然的《南烟斋笔录》片方在努力争取四月底的档迪丽热巴目前是不打算考虑偶像剧，现在看的剧本都是偏职场方向的现代戏任敏和丁禹兮是光线的一哥一姐，光线有个电影饼想让他俩二搭。朱一龙《人生大事》可能要挪到国庆档。,,,,,0,2,0,2022-04-14 23:50,搜狗高速浏览器,,,,,黄V
4758232973448963,LoqU9eter,6407694533,还给睡觉,刘亦菲超话抽奖！废话不多说：①转发本条微博带#刘亦菲去有风的地方##刘亦菲许红豆##刘亦菲梦华录##刘亦菲赵盼儿#任意两个话题②转发@哎呀法拉微博正文这条微博（图1-3）并@华策影视③欢迎各位刘亦菲欢迎参与O抽奖详情,,,"哎呀法拉,华策影视","刘亦菲去有风的地方,刘亦菲许红豆,刘亦菲梦华录,刘亦菲赵盼儿",95,101,63,2022-04-14 19:10,HUAWEI P30 Pro,"https://wx1.sinaimg.cn/large/006ZE23Pgy1h19gh3svjqj30u01t0apn.jpg,https://wx1.sinaimg.cn/large/006ZE23Pgy1h19ghdg5kjj30u01t0wtm.jpg,https://wx2.sinaimg.cn/large/006ZE23Pgy1h19ghvm2rej30u01t04d0.jpg,https://wx2.sinaimg.cn/large/006ZE23Pgy1h19gl2h82gj30r60xp7gj.jpg,https://wx4.sinaimg.cn/large/006ZE23Pgy1h19gl682bfj30r60xw7gf.jpg,https://wx2.sinaimg.cn/large/006ZE23Pgy1h19gl9mfarj30u0140tci.jpg,https://wx4.sinaimg.cn/large/006ZE23Pgy1h19glbg8maj313u0qogu3.jpg,https://wx4.sinaimg.cn/large/006ZE23Pgy1h19gm5047mj30u01amwja.jpg,https://wx2.sinaimg.cn/large/006ZE23Pgy1h19gm5xo6mj30sy11nadg.jpg",,,,
4758301453846596,LosGBg8FS,5532283015,睡到不气才起床icc,#刘亦菲去有风的地方##刘亦菲许红豆#,,,,"刘亦菲去有风的地方,刘亦菲许红豆",0,0,63,2022-04-14 23:42,iPhone客户端,,,4758232973448963,,普通用户
4758301042278838,LosFW9yPs,2701714352,念小恋电影,杨洋井柏然从刚开始的期待到后面的全员自闭，真的是被真人秀教做人了特战荣耀刘亦菲L念小恋电影的微博视频,,,,,0,0,0,2022-04-14 23:40,微博视频号,,"http://f.video.weibocdn.com/o0/QoHHKw2rlx07Vhmllqik0104120097D70E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1743264496&ssig=d%2F3lB%2FytK4&KID=unistore,video",,,普通用户
4758301037824110,LosFVwPpk,1931193225,毒花公子,全智贤刘亦菲|||因为太漂亮了所以就想放一起L毒花公子的微博视频,,,,,0,0,1,2022-04-14 23:40,微博视频号,,"http://f.video.weibocdn.com/o0/w6wWCkgClx07VhmlikG4010412007Vbb0E010.mp4?label=mp4_720p&template=720x1270.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1743264496&ssig=Jd9018Siom&KID=unistore,video",,,黄V
4758300983821108,LosFQg22M,2924421507,小颖电影,爱豆时期的刘亦菲我才知道爱豆时期的刘亦菲这么漂亮！妥妥女团C位！刘亦菲L小颖电影的微博视频,,,,,0,0,0,2022-04-14 23:40,微博视频号,,"http://f.video.weibocdn.com/o0/cEnPae7hlx07VhmklFc4010412007yqy0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1743264496&ssig=SPO%2Bd%2Fw3KF&KID=unistore,video",,,普通用户
4757943025404067,LojmumFQn,3775042320,西施的珍宝,本一级废柴尽力惹#陪赵盼儿去汴京#lyf#刘亦菲梦华录#,,,,"陪赵盼儿去汴京,刘亦菲梦华录",0,1,1,2022-04-13 23:57,电视剧梦华录超话,https://wx2.sinaimg.cn/large/e1029310ly1h18ja02p0nj20u012cdj5.jpg,,,,普通用户
